State/UT,Year,Total Cognizable IPC Crimes,Crime Rate (IPC),Murder (Section 302 IPC),Culpable Homicide not amounting to Murder (Section 299/304 IPC),Rape (Section 375/376 IPC),Literacy Rate (%),Poverty Rate (%),Police Strength: police personnel per 100000 population,Unemployment Rate (%)
Andhra Pradesh,2016,129389,250.1,1123,83,994,67.4,11.77,113.68,3.1
Andhra Pradesh,2017,148002,283.9,1054,202,988,68.1,11.77,141.06,4.5
Andhra Pradesh,2018,144703,278.1,935,266,971,69,6.06,152.8,5.3
Andhra Pradesh,2019,145751,278.6,870,183,1086,69.8,6.06,141.06,4.7
Andhra Pradesh,2020,238105,452.7,853,137,1095,70.5,6.06,141.06,4.1
Arunachal Pradesh,2016,2700,204.9,46,6,92,65.4,24.23,785.71,4.2
Arunachal Pradesh,2017,2746,206.3,79,7,59,66.2,24.23,992.66,5.8
Arunachal Pradesh,2018,2817,188.7,62,8,67,67,13.76,995.5,7.7
Arunachal Pradesh,2019,2877,190.9,60,8,63,67.8,13.76,992.66,6.7
Arunachal Pradesh,2020,2503,164.5,45,4,60,68.5,13.76,1011.45,5.7
Assam,2016,107014,328.5,1149,34,1779,72.2,32.65,236,4.4
Assam,2017,109952,333.9,1144,32,1772,73,32.65,207.49,7.9
Assam,2018,120573,354.2,1241,34,1648,73.8,19.35,252,6.7
Assam,2019,132783,385.8,1235,54,1773,74.5,19.35,236,7.9
Assam,2020,121609,349.5,1131,45,1657,75.2,19.35,251.97,4.1
Bihar,2016,189696,181.9,2581,150,1008,61.8,51.89,81,5.4
Bihar,2017,236055,223.9,2803,111,605,62.5,51.89,107.7,7
Bihar,2018,262815,222.1,2934,110,651,63.2,33.76,81,9.8
Bihar,2019,269109,224,3138,56,730,64,33.76,75.16,5.1
Bihar,2020,257512,211.3,3150,94,806,64.8,33.76,115.26,4.7
Chhattisgarh,2016,84192,324,957,37,1626,70.3,29.9,115.26,2.9
Chhattisgarh,2017,90516,344.3,919,32,1908,71,29.9,269.7,3.3
Chhattisgarh,2018,98233,345.1,917,36,2091,71.7,16.37,261.38,2.4
